price,time,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7
178729,1476655200,376,1266,1634,794,-1083,-4423,-5861
178507,1476568800,-222,154,1044,1412,572,-1305,-4645
177565,1476482400,-942,-1164,-788,102,470,-370,-2247
177246,1476396000,-319,-1261,-1483,-1107,-217,151,-689
176522,1476309600,-724,-1043,-1985,-2207,-1831,-941,-573
176471,1476223200,-51,-775,-1094,-2036,-2258,-1882,-992
172261,1476136800,-4210,-4261,-4985,-5304,-6246,-6468,-6092
168541,1476050400,-3720,-7930,-7981,-8705,-9024,-9966,-10188
168262,1475964000,-279,-3999,-8209,-8260,-8984,-9303,-10245
167879,1475877600,-383,-662,-4382,-8592,-8643,-9367,-9686
166989,1475791200,-890,-1273,-1552,-5272,-9482,-9533,-10257
166960,1475704800,-29,-919,-1302,-1581,-5301,-9511,-9562
166617,1475618400,-343,-372,-1262,-1645,-1924,-5644,-9854
